"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 3","11:02","11:02","2.38","4:38","4:38","122","135","5","1","172","252","48.7% L / 51.3% R","1.25","9.8","7.7","424","425","5.31","560","7.00","161","3:46","177","10:57","4:36"
"","","Warm Up","1","4:43.1","4:43.1","1.00","4:43","4:45","115","127","2","1","169","257","48.8% L / 51.3% R","1.24","10.1","7.9","421","418","5.23","493","6.16","66","4:30","174","4:43","4:43"
"","","Warm Up","2","4:33.1","9:16.1","1.00","4:33","4:32","128","134","3","0","174","249","48.5% L / 51.5% R","1.26","9.6","7.4","428","429","5.36","468","5.85","70","4:25","176","4:33","4:33"
"","","Warm Up","3","1:45.5","11:02","0.38","4:35","4:35","125","135","0","0","173","249","49.0% L / 51.0% R","1.25","9.7","7.8","419","432","5.40","560","7.00","25","3:46","177","1:43","4:29"
"","1","Run","4 - 6","11:21","22:23","3.00","3:47","3:55","154","165","3","5","182","220","47.5% L / 52.5% R","1.40","9.6","6.7","494","493","6.16","686","8.58","206","2:47","186","11:21","3:47"
"","","Run","4","3:47.1","14:49","1.00","3:47","3:48","147","157","0","3","181","221","47.8% L / 52.3% R","1.46","9.7","6.4","501","504","6.30","578","7.23","67","3:36","186","3:47.1","3:47"
"","","Run","5","3:48.5","18:37","1.00","3:49","4:08","156","159","1","2","183","219","47.4% L / 52.6% R","1.29","9.6","7.3","475","468","5.85","686","8.58","69","2:47","186","3:48.5","3:49"
"","","Run","6","3:45.8","22:23","1.00","3:46","3:50","160","165","2","0","181","220","47.3% L / 52.7% R","1.44","9.6","6.4","505","506","6.33","604","7.55","71","3:26","184","3:45.8","3:46"
"","","Rest","7","1:14.8","23:38","0.21","6:04","5:32","122","164","0","0","155","274","49.4% L / 50.6% R","1.18","11.2","9.4","399","384","4.80","541","6.76","16","3:42","182","1:11","5:46"
"","2","Run","8 - 10","11:29","35:07","3.00","3:50","3:50","158","167","3","3","182","221","47.5% L / 52.5% R","1.44","9.5","6.4","499","500","6.25","581","7.26","214","3:28","187","11:29","3:50"
"","","Run","8","3:49.0","27:27","1.00","3:49","3:52","151","160","0","1","181","223","47.9% L / 52.1% R","1.43","9.6","6.5","493","496","6.20","581","7.26","70","3:28","184","3:49.0","3:49"
"","","Run","9","3:51.4","31:18","1.00","3:51","3:50","161","164","0","2","182","221","47.4% L / 52.6% R","1.43","9.4","6.3","500","499","6.24","554","6.93","73","3:42","187","3:51.4","3:51"
"","","Run","10","3:48.9","35:07","1.00","3:49","3:48","162","167","3","0","182","220","47.3% L / 52.7% R","1.44","9.4","6.3","505","505","6.31","552","6.90","72","3:45","185","3:48","3:48"
