"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","0:13.0","0:13.0","0.04","4:54","4:55","97","107","0","0","141","251","1.44","8.7","6.3","--","370","4.63","544","6.80","1","4:04","171","0:11","4:08"
"","1","Run","2","0:27.0","0:40.0","0.13","3:30","3:38","124","138","0","0","181","217","1.50","9.4","6.3","482","501","6.26","573","7.16","7","3:12","192","0:26","3:23"
"","","Recovery","3","0:59.6","1:39.6","0.09","11:37","9:26","130","143","0","0","82","215","0.95","6.5","6.9","351","124","1.55","505","6.31","15","3:35","185","0:55","10:43"
"","2","Run","4","0:22.4","2:02.0","0.12","3:13","3:45","118","130","1","0","176","208","1.45","8.5","6.3","284","534","6.68","706","8.83","5","3:01","193","0:21","3:01"
"","","Recovery","5","1:01.7","3:03.7","0.10","10:05","8:58","128","142","0","1","117","280","0.95","6.5","6.9","371","176","2.20","618","7.73","14","3:14","185","1:01","9:58"
"","3","Run","6","0:26.6","3:30.3","0.14","3:14","3:30","125","138","1","0","151","199","1.66","9.3","5.6","275","426","5.33","603","7.54","6","3:00","188","0:26","3:10"
"","","Recovery","7","1:00.5","4:30.8","0.08","12:56","11:29","129","141","0","0","75","230","0.94","6.2","7.0","313","103","1.29","513","6.41","14","3:29","180","0:54","11:32"
"","4","Run","8","0:21.2","4:52.0","0.11","3:19","3:44","111","121","0","0","161","198","1.54","8.7","5.7","268","498","6.23","703","8.79","4","3:00","190","0:20","3:07"
"","","Recovery","9","1:01.3","5:53.4","0.10","10:00","7:54","123","136","0","1","115","193","1.01","6.4","6.6","356","187","2.34","589","7.36","13","3:21","225","1:01","9:56"
"","5","Run","10","0:20.5","6:13.9","0.11","3:10","3:42","104","113","0","0","162","194","1.56","8.2","5.4","241","448","5.60","628","7.85","5","2:42","193","0:19","2:56"
"","","Recovery","11","1:01.5","7:15.3","0.10","10:04","9:07","123","136","0","0","94","195","0.86","6.1","7.2","279","117","1.46","542","6.78","13","3:08","189","1:01","9:59"
"","6","Run","12 - 13","0:47.1","8:02.4","0.19","4:04","4:15","134","143","0","0","163","240","1.41","9.3","6.9","443","457","5.71","678","8.48","12","3:05","192","0:20","1:44"
"","","Run","12","0:21.5","7:36.9","0.11","3:11","3:47","125","134","0","0","165","194","1.56","8.5","5.6","258","494","6.18","678","8.48","5","3:05","192","0:21","3:07"
"","","Run","13","0:25.5","8:02.4","0.08","5:19","4:42","140","143","0","0","161","267","1.30","9.8","7.9","505","428","5.35","619","7.74","7","3:12","188","0:25.5","5:19"
"","Summary","--","--","8:02.4","8:02.4","1.30","6:11","6:07","124","143","2","2","121","220","1.17","7.4","6.6","351","261","3.26","706","8.83","108","2:42","225","7:51.6","6:02"
