"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:54.7","4:54.7","1.00","4:55","4:57","111","121","3","1","377","4.71","428","5.35","163","264","--","1.23","9.6","7.8","66","--","4:44","171","4:54","4:54","--","--"
"2","4:38.6","9:33.4","1.00","4:39","4:37","127","134","4","0","411","5.14","446","5.58","169","255","--","1.28","9.6","7.5","71","--","4:31","173","4:38","4:38","--","--"
"3","4:46.8","14:20","1.00","4:47","4:39","128","132","13","1","414","5.18","455","5.69","168","259","--","1.25","9.6","7.7","73","--","4:35","171","4:46.8","4:47","--","--"
"4","4:43.9","19:04","1.00","4:44","4:51","121","131","3","19","372","4.65","478","5.98","168","258","--","1.26","9.6","7.7","65","--","4:36","173","4:43.9","4:44","--","--"
"5","4:51.7","23:56","1.00","4:52","4:48","123","130","8","2","394","4.93","493","6.16","167","264","--","1.24","9.7","7.8","68","--","4:46","170","4:51.7","4:52","--","--"
"6","4:45.4","28:41","1.00","4:45","4:45","124","131","4","4","445","5.56","497","6.21","166","262","--","1.27","9.8","7.7","66","--","4:37","170","4:45","4:45","--","--"
"7","4:53.8","33:35","1.00","4:54","4:41","133","144","18","4","464","5.80","609","7.61","166","264","--","1.23","9.7","7.9","74","--","4:30","169","4:53.8","4:54","--","--"
"8","4:43.8","38:19","1.00","4:44","4:52","124","130","0","14","419","5.24","466","5.83","164","259","--","1.27","9.7","7.7","66","--","4:37","170","4:43","4:43","--","--"
"9","4:40.6","42:59","1.00","4:41","4:43","126","132","0","1","423","5.29","524","6.55","167","259","--","1.28","9.8","7.6","67","--","4:11","173","4:40","4:40","--","--"
"10","4:47.1","47:46","1.00","4:47","4:47","127","132","0","4","429","5.36","449","5.61","167","261","--","1.26","9.7","7.7","69","--","4:35","170","4:47","4:47","--","--"
"11","0:05.0","47:52","0.02","4:52","5:00","126","126","0","0","424","5.30","428","5.35","165","268","--","1.23","9.8","7.9","1","--","4:56","165","0:04","3:53","--","--"
"Summary","47:52","47:52","10.02","4:47","4:46","124","144","53","51","415","5.19","609","7.61","167","261","--","1.25","9.7","7.7","685","--","4:11","173","47:47","4:46","--","--"
