"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","47:25","47:25","10.05","4:43","135","147","32","30","174","249","1.22","9.0","7.4","388","385","4.81","506","6.33","698","3:55","180","47:17","4:42"
"","1","Run","2","0:22.6","47:48","0.10","3:43","143","149","0","0","188","212","1.47","8.8","6.1","422","486","6.08","583","7.29","5","2:58","197","0:21","3:27"
"","","Recovery","3 - 5","2:21.7","50:09","0.19","12:07","125","152","0","2","102","226","1.20","7.0","6.6","306","136","1.70","545","6.81","20","2:45","233","1:13","6:15"
"","","Recovery","3","1:00.8","48:48","0.07","14:47","134","152","0","2","84","244","1.20","7.5","7.0","362","117","1.46","489","6.11","12","3:32","233","0:23","5:35"
"","","Recovery","4","0:21.1","49:10","0.04","9:06","113","130","0","0","161","220","1.16","7.3","7.0","79","196","2.45","545","6.81","1","2:45","233","0:11","4:45"
"","","Recovery","5","0:59.8","50:09","0.09","11:22","120","135","0","0","100","201","1.21","6.5","6.2","237","135","1.69","541","6.76","7","3:25","194","0:38","7:14"
"","2","Run","6","0:22.8","50:32","0.08","4:50","108","125","0","0","178","194","1.51","8.5","5.6","177","350","4.38","558","6.98","1","3:06","200","0:15","3:10"
"","","Recovery","7","1:00.3","51:32","0.09","10:57","125","137","0","2","110","194","0.89","6.2","7.5","283","128","1.60","531","6.64","9","3:14","190","0:49","8:54"
"","3","Run","8","0:22.1","51:55","0.09","3:54","115","129","0","0","171","194","1.47","7.9","5.6","241","424","5.30","583","7.29","1","3:01","198","0:21","3:42"
"","","Recovery","9 - 10","1:23.5","53:18","0.12","11:32","119","139","0","0","96","207","1.16","6.6","6.5","295","144","1.80","545","6.81","9","3:12","198","0:48","6:38"
"","","Recovery","9","1:01.3","52:56","0.08","13:16","122","139","0","0","87","195","1.13","6.4","6.5","320","119","1.49","539","6.74","8","3:12","192","0:37","8:01"
"","","Recovery","10","0:22.2","53:18","0.04","8:29","111","125","0","0","120","216","1.21","7.6","6.7","95","211","2.64","545","6.81","1","3:18","198","0:12","4:35"
"","","Rest","11","0:59.9","54:18","0.03","30:55","125","134","0","0","66","193","1.48","6.2","5.7","203","59","0.74","523","6.54","8","3:26","196","0:17","8:46"
"","4","Run","12 - 13","0:31.1","54:49","0.13","3:57","120","135","0","0","164","207","1.64","8.7","5.5","288","397","4.96","639","7.99","3","2:34","202","0:14","1:47"
"","","Run","12","0:21.6","54:40","0.08","4:34","114","126","0","0","157","197","1.70","8.1","4.9","164","355","4.44","639","7.99","1","2:34","202","0:16","3:23"
"","","Run","13","0:09.5","54:49","0.05","3:02","133","135","0","0","180","221","1.57","9.4","6.1","373","482","6.03","526","6.58","2","3:05","194","0:09.5","3:02"
"","Summary","--","--","54:49","54:49","10.90","5:02","134","152","32","34","166","247","1.22","8.9","7.4","379","358","4.48","639","7.99","755","2:34","233","51:53","4:46"
